id,question_type,question,closest_source,layer,thinking_answer_cosine_distance,thinking_answer_cosine_similarity,thinking_token_count,answer_token_count
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,0,0.127361,0.872639,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,1,0.009855,0.990145,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,2,0.010662,0.989338,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,3,0.01343,0.98657,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,4,0.016804,0.983196,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,5,0.012898,0.987102,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,6,0.010976,0.989024,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,7,0.318303,0.681697,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,8,0.289243,0.710757,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,9,0.269569,0.730431,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,10,0.258161,0.741839,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,11,0.225855,0.774145,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,12,0.209453,0.790547,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,13,0.177321,0.822679,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,14,0.164302,0.835698,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,15,0.151132,0.848868,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,16,0.140506,0.859494,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,17,0.070844,0.929156,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,18,0.068222,0.931778,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,19,0.05883,0.94117,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,20,0.061391,0.938609,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,21,0.055039,0.944961,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,22,0.054746,0.945254,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,23,0.066902,0.933098,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,24,0.05569,0.94431,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,25,0.05251,0.94749,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,26,0.049254,0.950746,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,27,0.047396,0.952604,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,28,0.048325,0.951675,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,29,0.043226,0.956774,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,30,0.03467,0.96533,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,31,0.038965,0.961035,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,32,0.032519,0.967481,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,33,0.033068,0.966932,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,34,0.024412,0.975588,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,35,0.014566,0.985434,537,912
0,cross_domain_mapping,Biological immune systems and multi-agent AI frameworks both address open-ended problems through div,qwen_thinking,36,0.384748,0.615252,537,912
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,0,0.104911,0.895089,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,1,0.008646,0.991354,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,2,0.009365,0.990635,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,3,0.013418,0.986582,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,4,0.017125,0.982875,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,5,0.013036,0.986964,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,6,0.011246,0.988754,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,7,0.159746,0.840254,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,8,0.14284,0.85716,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,9,0.133184,0.866816,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,10,0.12763,0.87237,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,11,0.110257,0.889743,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,12,0.101884,0.898116,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,13,0.08493,0.91507,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,14,0.08026,0.91974,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,15,0.072615,0.927385,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,16,0.068295,0.931705,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,17,0.03186,0.96814,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,18,0.036248,0.963752,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,19,0.031463,0.968537,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,20,0.041658,0.958342,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,21,0.036401,0.963599,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,22,0.038045,0.961955,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,23,0.053871,0.946129,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,24,0.04649,0.95351,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,25,0.04522,0.95478,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,26,0.04265,0.95735,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,27,0.040391,0.959609,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,28,0.041195,0.958805,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,29,0.03623,0.96377,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,30,0.028725,0.971275,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,31,0.032571,0.967429,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,32,0.026676,0.973324,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,33,0.02817,0.97183,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,34,0.021106,0.978894,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,35,0.0124,0.9876,958,747
1,cross_domain_mapping,A city planner designing a transportation network faces a tradeoff similar to that encountered in de,qwen_thinking,36,0.298278,0.701722,958,747
2,causal_multiscale_reasoning,"You are given a polymer network formed by mixing a rigid, short cross-linker that increases network ",qwen_thinking,0,0.114956,0.885044,1153,750
2,causal_multiscale_reasoning,"You are given a polymer network formed by mixing a rigid, short cross-linker that increases network ",qwen_thinking,1,0.007197,0.992803,1153,750
2,causal_multiscale_reasoning,"You are given a polymer network formed by mixing a rigid, short cross-linker that increases network ",qwen_thinking,2,0.007598,0.992402,1153,750
2,causal_multiscale_reasoning,"You are given a polymer network formed by mixing a rigid, short cross-linker that increases network ",qwen_thinking,3,0.010598,0.989402,1153,750
2,causal_multiscale_reasoning,"You are given a polymer network formed by mixing a rigid, short cross-linker that increases network ",qwen_thinking,4,0.014411,0.985589,1153,750
2,causal_multiscale_reasoning,"You are given a polymer network formed by mixing a rigid, short cross-linker that increases network ",qwen_thinking,5,0.011156,0.988844,1153,750
2,causal_multiscale_reasoning,"You are given a polymer network formed by mixing a rigid, short cross-linker that increases network ",qwen_thinking,6,0.009453,0.990547,1153,750
2,causal_multiscale_reasoning,"You are given a polymer network formed by mixing a rigid, short cross-linker that increases network ",qwen_thinking,7,0.119976,0.880024,1153,750
2,causal_multiscale_reasoning,"You are given a polymer network formed by mixing a rigid, short cross-linker that increases network ",qwen_thinking,8,0.107756,0.892244,1153,750
2,causal_multiscale_reasoning,"You are given a polymer network formed by mixing a rigid, short cross-linker that increases network ",qwen_thinking,9,0.10449,0.89551,1153,750
2,causal_multiscale_reasoning,"You are given a polymer network formed by mixing a rigid, short cross-linker that increases network ",qwen_thinking,10,0.099809,0.900191,1153,750
2,causal_multiscale_reasoning,"You are given a polymer network formed by mixing a rigid, short cross-linker that increases network ",qwen_thinking,11,0.089478,0.910522,1153,750
2,causal_multiscale_reasoning,"You are given a polymer network formed by mixing a rigid, short cross-linker that increases network ",qwen_thinking,12,0.084104,0.915896,1153,750
2,causal_multiscale_reasoning,"You are given a polymer network formed by mixing a rigid, short cross-linker that increases network ",qwen_thinking,13,0.07157,0.92843,1153,750
2,causal_multiscale_reasoning,"You are given a polymer network formed by mixing a rigid, short cross-linker that increases network ",qwen_thinking,14,0.066754,0.933246,1153,750
