id,question_type,closest_source,corruption_type,patched_layer,patch_position,clean_answer_similarity,corrupted_baseline_similarity,similarity_recovery,entity_overlap_recovery,mechanism_overlap_recovery,clean_answer_logprob
0,cross_domain_mapping,,no_thinking,7,candidate,0.973,0.7283,0.2717,0.5047,0.5
0,cross_domain_mapping,,no_thinking,8,candidate,0.973,0.7034,0.2966,0.5047,0.5
0,cross_domain_mapping,,no_thinking,9,candidate,0.973,0.6824,0.3176,0.5047,0.5
0,cross_domain_mapping,,no_thinking,10,candidate,0.973,0.6586,0.3414,0.5047,0.5
0,cross_domain_mapping,,no_thinking,36,candidate,0.973,0.1926,0.8074,0.5047,0.5
0,cross_domain_mapping,,no_thinking,1,control,0.973,0.0248,0.9752,0.5047,0.5
0,cross_domain_mapping,,no_thinking,20,control,0.973,0.0447,0.9553,0.5047,0.5
0,cross_domain_mapping,,no_thinking,30,control,0.973,0.0358,0.9642,0.5047,0.5
0,cross_domain_mapping,,shuffled_thinking,7,candidate,0.97,0.7286,0.2714,0.5291,0.6667
0,cross_domain_mapping,,shuffled_thinking,8,candidate,0.97,0.7026,0.2974,0.5291,0.6667
0,cross_domain_mapping,,shuffled_thinking,9,candidate,0.97,0.6829,0.3171,0.5291,0.6667
0,cross_domain_mapping,,shuffled_thinking,10,candidate,0.97,0.659,0.341,0.5291,0.6667
0,cross_domain_mapping,,shuffled_thinking,36,candidate,0.97,0.1582,0.8418,0.5291,0.6667
0,cross_domain_mapping,,shuffled_thinking,1,control,0.97,0.0177,0.9823,0.5291,0.6667
0,cross_domain_mapping,,shuffled_thinking,20,control,0.97,0.0434,0.9566,0.5291,0.6667
0,cross_domain_mapping,,shuffled_thinking,30,control,0.97,0.0348,0.9652,0.5291,0.6667
1,cross_domain_mapping,,no_thinking,7,candidate,0.9479,0.7368,0.2632,0.5659,0.3333
1,cross_domain_mapping,,no_thinking,8,candidate,0.9479,0.707,0.293,0.5659,0.3333
1,cross_domain_mapping,,no_thinking,9,candidate,0.9479,0.6896,0.3104,0.5659,0.3333
1,cross_domain_mapping,,no_thinking,10,candidate,0.9479,0.6666,0.3334,0.5659,0.3333
1,cross_domain_mapping,,no_thinking,36,candidate,0.9479,0.2841,0.7159,0.5659,0.3333
1,cross_domain_mapping,,no_thinking,1,control,0.9479,0.0116,0.9884,0.5659,0.3333
1,cross_domain_mapping,,no_thinking,20,control,0.9479,0.4027,0.5973,0.5659,0.3333
1,cross_domain_mapping,,no_thinking,30,control,0.9479,0.0704,0.9296,0.5659,0.3333
1,cross_domain_mapping,,shuffled_thinking,7,candidate,0.9525,0.7353,0.2647,0.5283,0.0
1,cross_domain_mapping,,shuffled_thinking,8,candidate,0.9525,0.7053,0.2947,0.5283,0.0
1,cross_domain_mapping,,shuffled_thinking,9,candidate,0.9525,0.6875,0.3125,0.5283,0.0
1,cross_domain_mapping,,shuffled_thinking,10,candidate,0.9525,0.6646,0.3354,0.5283,0.0
1,cross_domain_mapping,,shuffled_thinking,36,candidate,0.9525,0.1605,0.8395,0.5283,0.0
1,cross_domain_mapping,,shuffled_thinking,1,control,0.9525,0.0109,0.9891,0.5283,0.0
